"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT05","WT08","WT11"
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-24",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-25",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-26",,,"0.08",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-27",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-28",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-29",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-04-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-02",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-03",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-05",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-06",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-09",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-10",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-12",,,"0.00",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-13",,,"0.24",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-14",,,"0.01",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-15",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-16",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-17",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-18",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-19",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-20",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-21",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-22",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-24",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-25",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-26",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-27",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-28",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-29",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-05-31",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-02",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-03",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-05",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-06",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-09",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-10",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-12",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-13",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-14",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-15",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-16",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-17",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-18",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-19",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-20",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-21",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-22",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-24",,,"0.00",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-25",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-26",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-27",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-28",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-29",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-06-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-02",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-03",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-05",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-06",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-09",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-10",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-12",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-13",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-14",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-15",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-16",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-17",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-18",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-19",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-20",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-21",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-22",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-24",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-25",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-26",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-27",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-28",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-29",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-07-31",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-02",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-03",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-05",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-06",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-09",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-10",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-12",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-13",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-14",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-15",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-16",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-17",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-18",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-19",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-20",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-21",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-22",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-24",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-25",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-26",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-27",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-28",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-29",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-08-31",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-02",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-03",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-05",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-06",,,"0.00",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-09",,,"0.01",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-10",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-12",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-13",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-14",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-15",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-16",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-17",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-18",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-19",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-20",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-21",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-22",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-24",,,"0.00",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-25",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-26",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-27",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-28",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-29",,,"0.00",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-09-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-02",,,"0.09",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-03",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-05",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-06",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-09",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-10",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-12",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-13",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-14",,,"0.36",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-15",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-16",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-17",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-18",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-19",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-20",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-21",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-22",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-24",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-25",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-26",,,"0.01",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-27",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-28",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-29",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-10-31",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-02",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-03",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-05",,,"0.03",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-06",,,"0.03",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-09",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-10",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-12",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-13",,,"0.32",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-14",,,"0.63",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-15",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-16",,,"0.30",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-17",,,"0.88",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-18",,,"0.03",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-19",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-20",,,"0.10",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-21",,,"0.03",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-22",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-23",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-24",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-25",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-26",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-27",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-28",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-29",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-11-30",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-01",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-02",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-03",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-04",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-05",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-06",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-07",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-08",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-09",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-10",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-11",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-12",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-13",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-14",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-15",,,"0.02",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-16",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-17",,,"0.01",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-18",,,"0.05",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-19",,,"0.00","0.0",,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-20",,,"0.03",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-21",,,"0.21",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-22",,,"0.20",,,,,,,,,,,,
"US1CASM0038","37.4995974834295","-122.26890563","31.1","2025-12-23",,,"0.32",,,,,,,,,,,,
